markers,,,A07_BSxEL 3.CEL,A08_BSxEL 11.CEL,A09_BSxEL 19.CEL,A10_BSxEL 27.CEL,A11_BSxEL 36.CEL,A12_BSxEL 44.CEL,B07_BSxEL 4.CEL,B09_BSxEL 20.CEL,B10_BSxEL 28.CEL,B11_BSxEL 37.CEL,B12_BSxEL 45.CEL,C07_BSxEL 5.CEL
AX-89795083:nmh:np,2,84.978,ab,aa,ab,ab,aa,aa,aa,ab,aa,ab,ab,aa
AX-89909019:nmh:lm,2,84.978,ab,aa,ab,ab,aa,aa,aa,ab,aa,ab,ab,aa
AX-89803871:nmh:np,3,0.0,ab,ab,aa,aa,aa,ab,ab,aa,ab,ab,ab,ab
AX-89846672:nmh:np,3,2.085,ab,ab,aa,aa,aa,ab,ab,aa,ab,ab,ab,ab
AX-89862519:nmh:np,3,4.169,ab,ab,aa,aa,aa,ab,ab,aa,ab,ab,ab,ab
AX-89823593:nmh:np,3,8.345,ab,ab,aa,aa,aa,aa,ab,aa,ab,ab,ab,ab
AX-89823537:nmh:np,3,10.43,ab,ab,aa,aa,aa,aa,ab,aa,ab,ab,ab,ab
AX-89784104:nmh:np,3,12.515,ab,ab,aa,aa,aa,aa,ab,aa,ab,ab,ab,ab
AX-89859788:nmh:lm,3,14.599,ab,ab,aa,ab,aa,aa,ab,aa,ab,ab,ab,ab
AX-89900502:phr:np,3,14.599,ab,ab,aa,ab,aa,aa,ab,aa,ab,ab,ab,ab
AX-89900385:phr:np,3,16.684,ab,ab,aa,ab,aa,aa,ab,aa,ab,ab,ab,ab
AX-89810806:nmh:lm,3,16.684,ab,ab,aa,ab,aa,aa,ab,aa,ab,ab,ab,ab
AX-89900332:nmh:np,3,18.768,ab,aa,aa,ab,aa,aa,ab,aa,ab,ab,ab,ab
AX-89808950:nmh:np,3,22.944,ab,aa,aa,ab,aa,aa,ab,aa,ab,ab,ab,ab
AX-89845775:nmh:np,3,25.029,ab,aa,aa,ab,aa,aa,ab,aa,ab,ab,ab,ab
AX-89845536:nmh:np,3,29.205,ab,aa,aa,ab,aa,aa,-,aa,ab,ab,ab,ab
AX-89850763:nmh:np,3,31.29,ab,aa,aa,ab,aa,aa,ab,aa,ab,ab,ab,ab
AX-89808759:nmh:np,3,33.374,ab,aa,aa,ab,aa,aa,ab,aa,ab,ab,ab,ab
AX-89843884:phr:np,3,35.459,ab,aa,aa,ab,aa,aa,ab,aa,ab,ab,aa,ab
AX-89906641:nmh:lm,3,35.459,ab,aa,aa,ab,aa,aa,ab,aa,ab,ab,aa,ab
AX-89901018:nmh:np,3,37.544,ab,aa,aa,ab,aa,aa,ab,aa,ab,ab,aa,ab
AX-89901080:phr:np,3,39.65,ab,aa,aa,ab,aa,aa,ab,aa,ab,ab,aa,ab
AX-89901350:phr:np,3,41.756,ab,aa,aa,ab,aa,aa,ab,aa,ab,ab,aa,ab
AX-89906694:nmh:lm,3,41.756,ab,aa,aa,ab,aa,aa,ab,aa,ab,ab,aa,ab
AX-89844013:phr:np,3,45.933,ab,aa,aa,ab,aa,aa,ab,aa,ab,ab,aa,ab
AX-89800912:phr:np,3,48.017,ab,aa,aa,ab,aa,aa,ab,aa,ab,ab,aa,ab
AX-89815738:nmh:lm,3,48.017,ab,aa,aa,ab,aa,aa,ab,aa,ab,ab,aa,-
AX-89901534:nmh:np,3,50.102,ab,aa,aa,ab,aa,aa,ab,aa,ab,ab,aa,ab
AX-89801358:nmh:np,3,54.278,ab,aa,aa,ab,aa,aa,ab,aa,ab,ab,aa,ab
AX-89853869:nmh:lm,3,54.278,ab,aa,aa,ab,aa,aa,ab,aa,ab,ab,aa,ab
AX-89901964:nmh:np,3,58.454,ab,aa,aa,ab,aa,aa,ab,aa,ab,ab,ab,ab
AX-89818298:nmh:np,3,60.539,ab,aa,aa,ab,aa,aa,ab,aa,ab,ab,aa,ab
AX-89845363:nmh:lm,3,62.624,ab,aa,aa,ab,aa,aa,ab,aa,ab,ab,aa,ab
AX-89845338:nmh:np,3,62.624,ab,aa,aa,ab,aa,aa,ab,aa,ab,ab,aa,ab
AX-89909879:nmh:np,3,65.852,ab,aa,aa,aa,aa,aa,ab,aa,ab,ab,aa,ab
AX-89840132:phr:np,4,0.0,aa,aa,aa,ab,aa,aa,ab,aa,ab,-,-,ab
AX-89888387:nmh:np,4,5.003,aa,aa,aa,ab,aa,aa,ab,aa,ab,aa,aa,ab
AX-89864371:nmh:np,4,7.087,aa,aa,aa,ab,aa,aa,ab,aa,ab,aa,aa,ab
AX-89797167:nmh:np,4,9.172,aa,aa,aa,ab,aa,aa,ab,aa,ab,aa,aa,ab
AX-89808250:nmh:np,4,11.256,aa,aa,aa,ab,aa,aa,ab,aa,ab,ab,aa,ab
AX-89896318:nmh:np,4,13.341,aa,aa,aa,ab,aa,aa,ab,aa,ab,ab,aa,ab
AX-89896738:nmh:np,4,15.491,aa,aa,aa,ab,aa,aa,ab,aa,ab,ab,aa,ab
AX-89796724:phr:np,4,20.548,aa,-,aa,ab,aa,aa,ab,-,ab,ab,-,ab
AX-89839507:phr:np,4,25.285,-,-,aa,ab,aa,aa,ab,aa,ab,ab,ab,ab
AX-89796785:phr:np,4,29.201,aa,aa,aa,ab,-,aa,ab,aa,ab,ab,aa,ab
AX-89796242:phr:np,4,33.839,aa,aa,aa,ab,aa,aa,ab,aa,aa,ab,aa,ab
AX-89796233:phr:np,4,36.077,aa,aa,aa,ab,aa,aa,ab,aa,aa,ab,aa,ab
AX-89895905:phr:np,4,38.625,aa,-,aa,ab,ab,aa,ab,aa,aa,ab,aa,ab
AX-89837145:phr:np,4,42.733,-,aa,aa,ab,aa,-,ab,aa,aa,ab,-,ab
AX-89895616:phr:np,4,48.905,ab,aa,aa,ab,aa,-,ab,aa,aa,ab,aa,ab
AX-89838478:phr:np,4,53.148,aa,aa,aa,ab,-,aa,ab,aa,aa,ab,aa,ab
AX-89849797:phr:np,4,55.299,aa,aa,aa,ab,aa,aa,ab,aa,aa,ab,aa,ab
AX-89838594:phr:lm,4,55.299,aa,aa,aa,ab,aa,aa,ab,aa,aa,ab,-,ab
AX-89837811:phr:np,4,57.383,aa,aa,aa,ab,aa,aa,ab,aa,aa,ab,aa,ab
AX-89895044:phr:np,4,59.468,aa,aa,aa,ab,aa,aa,ab,aa,aa,ab,aa,ab
AX-89837508:phr:np,4,63.644,aa,aa,aa,ab,aa,aa,ab,aa,aa,ab,aa,ab
AX-89894683:phr:np,4,65.729,aa,aa,aa,ab,aa,aa,ab,aa,aa,ab,aa,ab
AX-89849587:phr:np,4,67.813,aa,aa,aa,ab,aa,aa,ab,aa,aa,ab,aa,ab
AX-89800044:phr:np,4,70.306,aa,aa,aa,ab,aa,-,ab,-,aa,ab,aa,ab
AX-89909704:nmh:lm,4,74.893,aa,aa,aa,ab,aa,aa,ab,-,aa,ab,aa,ab
AX-89799930:nmh:lm,4,76.977,aa,aa,aa,ab,aa,aa,ab,aa,aa,ab,aa,ab
AX-89800022:phr:np,4,76.977,aa,aa,aa,ab,aa,aa,ab,aa,aa,ab,aa,ab
AX-89842235:phr:np,4,81.154,aa,aa,aa,ab,aa,aa,ab,aa,aa,ab,aa,ab
AX-89842342:phr:np,4,83.238,aa,aa,aa,ab,aa,aa,ab,aa,aa,ab,aa,ab
AX-89799295:nmh:lm,4,83.238,aa,aa,aa,ab,aa,aa,ab,aa,-,ab,aa,ab
AX-89899312:phr:np,4,85.323,aa,aa,ab,ab,aa,aa,ab,aa,aa,ab,aa,ab
AX-89799535:nmh:np,4,89.499,aa,aa,aa,ab,aa,aa,ab,aa,aa,ab,ab,ab
AX-89787192:nmh:np,5,0.0,aa,ab,ab,aa,aa,aa,ab,ab,aa,aa,aa,ab
AX-89884746:nmh:np,5,2.108,aa,ab,ab,aa,aa,aa,ab,ab,aa,aa,aa,ab
AX-89885360:phr:np,5,4.216,aa,ab,ab,aa,aa,aa,ab,ab,aa,aa,aa,ab
AX-89885062:phr:np,5,6.301,aa,ab,ab,aa,aa,aa,ab,ab,aa,aa,aa,ab
AX-89885210:nmh:lm,5,6.301,aa,ab,ab,aa,aa,aa,ab,ab,aa,aa,aa,ab
AX-89884930:phr:np,5,8.385,aa,ab,ab,aa,aa,aa,ab,ab,aa,aa,aa,ab
AX-89792184:phr:np,5,10.47,aa,ab,ab,aa,aa,aa,ab,ab,aa,aa,aa,ab
AX-89882939:nmh:lm,5,10.47,aa,ab,ab,aa,aa,aa,ab,ab,aa,aa,aa,ab
AX-89847909:phr:np,5,12.555,aa,ab,ab,aa,aa,aa,ab,ab,aa,aa,aa,ab
AX-89784242:phr:np,5,14.639,aa,ab,ab,aa,aa,aa,ab,ab,aa,aa,aa,ab
AX-89784521:phr:np,5,20.763,aa,ab,ab,aa,aa,aa,ab,ab,aa,aa,aa,ab
AX-89881513:phr:np,5,24.869,aa,ab,ab,aa,aa,aa,ab,ab,aa,aa,aa,-
AX-89822384:phr:np,5,29.604,aa,ab,ab,ab,aa,aa,ab,ab,aa,aa,-,ab
AX-89881604:phr:np,5,33.462,aa,ab,ab,aa,aa,aa,ab,ab,aa,aa,ab,ab
AX-89847715:phr:np,5,35.547,aa,ab,ab,aa,aa,aa,ab,ab,aa,aa,aa,ab
AX-89784701:nmh:lm,5,35.547,aa,ab,ab,aa,aa,aa,ab,ab,aa,aa,aa,ab
AX-89872355:phr:np,5,39.723,aa,ab,ab,aa,aa,ab,ab,ab,aa,aa,aa,ab
AX-89822109:phr:np,5,41.808,aa,ab,ab,aa,aa,ab,ab,ab,aa,aa,aa,ab
AX-89824529:phr:np,5,45.984,aa,ab,ab,aa,aa,ab,ab,ab,aa,aa,aa,ab
AX-89881661:phr:np,5,48.069,aa,ab,ab,aa,aa,ab,ab,ab,aa,aa,aa,ab
AX-89800585:phr:np,5,50.153,aa,ab,ab,aa,aa,ab,ab,ab,aa,aa,aa,ab
AX-89826022:phr:np,5,52.238,aa,ab,ab,aa,aa,ab,ab,ab,aa,aa,aa,ab
AX-89830372:phr:np,5,56.414,aa,ab,ab,aa,aa,ab,ab,ab,aa,aa,aa,ab
AX-89883426:phr:np,5,58.499,aa,ab,ab,aa,aa,ab,ab,ab,aa,aa,aa,ab
AX-89897240:nmh:lm,5,58.499,aa,ab,ab,aa,aa,ab,ab,ab,aa,aa,aa,ab
AX-89785590:nmh:np,5,60.583,aa,ab,ab,aa,aa,ab,ab,ab,aa,aa,aa,ab
AX-89826291:phr:np,5,64.776,aa,ab,ab,aa,aa,ab,ab,ab,aa,aa,aa,ab
AX-89899642:nmh:np,6,0.0,aa,aa,ab,aa,ab,ab,aa,ab,aa,aa,ab,aa
AX-89861889:nmh:np,6,3.917,aa,aa,ab,aa,ab,ab,aa,ab,aa,aa,ab,aa
AX-89842318:nmh:np,6,8.094,aa,aa,ab,aa,ab,ab,-,ab,aa,aa,ab,aa
AX-89864659:nmh:np,6,12.27,ab,aa,ab,aa,ab,ab,aa,ab,aa,aa,ab,aa
AX-89894285:nmh:np,6,14.355,aa,aa,ab,aa,ab,ab,aa,ab,aa,aa,ab,aa
AX-89795350:nmh:lm,6,14.355,aa,aa,ab,aa,ab,ab,aa,ab,aa,aa,ab,aa
AX-89840756:nmh:np,6,16.44,aa,aa,ab,aa,aa,ab,aa,ab,aa,aa,ab,aa
AX-89803175:nmh:np,6,18.524,aa,ab,ab,aa,aa,ab,aa,ab,aa,aa,ab,aa
AX-89853445:nmh:lm,6,18.524,aa,ab,ab,aa,aa,ab,aa,ab,aa,aa,ab,aa
AX-89874335:nmh:lm,6,20.609,aa,ab,ab,aa,aa,ab,aa,ab,aa,aa,ab,aa
AX-89839938:nmh:np,6,22.892,aa,-,ab,aa,aa,ab,aa,ab,aa,aa,-,aa
AX-89839471:nmh:np,6,25.176,aa,ab,ab,aa,aa,ab,aa,ab,aa,aa,ab,aa
AX-89873350:phr:np,6,27.261,aa,ab,ab,aa,aa,ab,aa,ab,aa,aa,ab,aa
AX-89798227:nmh:lm,6,27.261,aa,ab,ab,aa,aa,ab,aa,ab,aa,aa,ab,aa
AX-89899116:nmh:np,6,29.345,aa,ab,ab,aa,aa,ab,aa,ab,aa,aa,ab,aa
AX-89899939:phr:np,6,31.43,aa,ab,ab,aa,aa,ab,aa,ab,aa,aa,ab,aa
AX-89842611:nmh:np,6,33.514,aa,ab,ab,aa,aa,ab,aa,ab,ab,aa,ab,aa
AX-89906534:phr:np,6,35.599,aa,ab,ab,aa,aa,ab,aa,ab,ab,aa,ab,aa
AX-89799698:nmh:np,6,39.775,aa,ab,ab,aa,aa,ab,aa,ab,ab,aa,ab,aa
AX-89842427:phr:np,6,41.86,aa,ab,ab,aa,aa,ab,aa,ab,ab,aa,ab,aa
AX-89899499:nmh:np,6,48.142,aa,ab,ab,aa,aa,ab,ab,ab,ab,aa,ab,ab
AX-89862222:nmh:np,6,52.319,aa,ab,ab,aa,aa,ab,aa,ab,ab,aa,ab,aa
AX-89859716:nmh:np,6,56.495,aa,ab,ab,aa,aa,ab,aa,ab,ab,aa,ab,aa
AX-89842937:nmh:lm,6,56.495,aa,ab,ab,aa,aa,ab,aa,ab,ab,aa,ab,aa
AX-89837804:phr:np,6,58.58,aa,ab,ab,aa,aa,ab,aa,ab,ab,aa,ab,aa
AX-89914385:nmh:lm,6,58.58,aa,ab,ab,aa,aa,ab,aa,ab,ab,aa,ab,aa
AX-89892239:nmh:np,7,0.0,ab,ab,aa,ab,ab,ab,ab,aa,ab,ab,ab,ab
AX-89913954:nmh:lm,7,0.0,ab,ab,aa,ab,ab,ab,ab,aa,ab,ab,ab,ab
AX-89835273:nmh:np,7,2.085,ab,ab,aa,ab,ab,ab,ab,aa,ab,ab,ab,ab
AX-89804982:nmh:np,7,6.261,ab,ab,aa,ab,ab,ab,ab,aa,ab,ab,ab,ab
AX-89852835:nmh:np,7,10.437,ab,ab,aa,ab,ab,ab,ab,aa,ab,ab,aa,ab
AX-89891956:nmh:np,7,12.522,ab,ab,aa,ab,ab,ab,ab,aa,ab,ab,ab,ab
AX-89854450:nmh:lm,7,16.698,ab,aa,-,ab,ab,ab,ab,aa,ab,ab,ab,ab
AX-89874936:phr:np,7,18.783,ab,aa,aa,ab,ab,ab,ab,aa,ab,ab,ab,ab
AX-89834368:phr:np,7,22.959,ab,aa,aa,ab,ab,ab,ab,aa,ab,ab,ab,ab
AX-89834397:nmh:np,7,25.044,ab,aa,aa,aa,ab,ab,ab,aa,ab,ab,ab,ab
AX-89891616:phr:np,7,27.128,ab,aa,aa,aa,ab,ab,ab,aa,ab,ab,-,ab
AX-89793359:phr:np,7,33.445,ab,aa,aa,ab,ab,ab,ab,aa,ab,aa,ab,ab
AX-89891540:phr:np,7,35.563,ab,aa,aa,aa,ab,ab,ab,aa,ab,aa,ab,ab
AX-89869951:nmh:lm,7,35.563,ab,aa,aa,aa,ab,ab,ab,aa,ab,aa,ab,ab
AX-89890329:nmh:np,7,37.648,ab,aa,aa,aa,ab,ab,ab,aa,ab,aa,ab,ab
AX-89815561:phr:np,7,43.931,ab,aa,aa,aa,ab,ab,ab,aa,ab,aa,ab,ab
AX-89792533:phr:np,7,46.015,ab,aa,aa,aa,ab,ab,ab,aa,ab,aa,ab,ab
AX-89833333:phr:np,7,50.192,ab,ab,aa,aa,ab,ab,ab,aa,ab,aa,ab,ab
AX-89905434:phr:np,7,53.204,ab,ab,aa,aa,ab,ab,ab,aa,ab,aa,-,ab
AX-89889634:phr:np,7,56.45,ab,ab,aa,aa,ab,ab,ab,aa,ab,aa,aa,ab
AX-89832703:phr:np,7,60.626,aa,ab,aa,aa,ab,ab,ab,aa,ab,aa,aa,ab
AX-89832735:phr:np,7,64.95,aa,ab,aa,aa,ab,ab,ab,aa,ab,aa,-,ab
AX-89794957:phr:np,7,67.181,aa,ab,aa,aa,ab,ab,ab,aa,ab,aa,aa,ab
AX-89836792:phr:np,7,71.357,aa,ab,aa,aa,ab,ab,ab,aa,ab,aa,aa,ab
AX-89896679:nmh:np,8,0.0,ab,ab,ab,aa,ab,ab,ab,ab,aa,aa,ab,aa
AX-89807609:nmh:np,8,6.283,ab,ab,ab,aa,ab,ab,aa,ab,aa,ab,ab,aa
AX-89853384:nmh:lm,8,8.367,ab,ab,ab,aa,ab,ab,aa,ab,aa,ab,ab,aa
AX-89840073:nmh:np,8,8.367,ab,ab,ab,aa,ab,ab,aa,ab,aa,ab,ab,aa
AX-89839833:nmh:np,8,10.452,ab,ab,ab,aa,ab,ab,aa,ab,aa,ab,ab,aa
AX-89839483:nmh:np,8,12.536,ab,ab,ab,aa,ab,ab,aa,ab,aa,aa,ab,aa
AX-89808258:phr:np,8,16.713,ab,ab,ab,aa,ab,ab,aa,ab,aa,aa,ab,aa
AX-89796626:nmh:np,8,18.797,ab,ab,ab,aa,ab,ab,aa,ab,aa,aa,ab,aa
AX-89796827:nmh:lm,8,18.797,ab,ab,ab,aa,ab,ab,aa,ab,aa,aa,ab,aa
AX-89839071:nmh:np,8,23.409,ab,ab,ab,aa,ab,ab,aa,ab,-,aa,ab,aa
AX-89838952:nmh:np,8,31.377,ab,ab,ab,aa,ab,ab,aa,ab,ab,aa,ab,aa
AX-89858441:nmh:lm,8,31.377,ab,ab,ab,aa,ab,ab,aa,ab,ab,aa,ab,aa
AX-89895567:nmh:np,8,33.462,ab,ab,ab,aa,ab,ab,aa,ab,ab,aa,ab,aa
AX-89796051:nmh:lm,8,33.462,ab,ab,ab,aa,ab,ab,aa,ab,ab,aa,ab,aa
AX-89837790:nmh:np,8,35.546,ab,-,ab,aa,ab,ab,aa,-,ab,aa,ab,aa
AX-89837810:phr:np,8,37.631,ab,ab,ab,aa,ab,ab,aa,ab,ab,aa,ab,aa
AX-89837478:phr:np,8,39.715,ab,ab,ab,aa,ab,ab,aa,ab,ab,aa,ab,aa
AX-89909040:nmh:lm,8,41.8,ab,ab,ab,aa,ab,ab,aa,ab,ab,aa,ab,aa
AX-89900239:phr:np,8,41.8,ab,ab,ab,aa,ab,ab,aa,ab,ab,aa,ab,aa
AX-89842925:phr:np,8,43.884,ab,ab,ab,aa,ab,ab,aa,ab,ab,aa,ab,aa
AX-89800048:nmh:lm,8,43.884,ab,ab,ab,aa,ab,ab,aa,ab,ab,aa,ab,aa
AX-89842829:phr:np,8,45.969,ab,ab,ab,aa,ab,ab,aa,ab,ab,aa,ab,aa
AX-89842219:phr:np,8,48.054,ab,ab,ab,aa,ab,ab,aa,ab,ab,aa,ab,aa
AX-89915586:nmh:lm,8,48.054,ab,ab,ab,aa,ab,ab,aa,ab,ab,aa,ab,aa
AX-89819678:nmh:np,9,0.0,aa,ab,ab,ab,aa,aa,aa,ab,ab,ab,ab,aa
AX-89847313:phr:np,9,8.412,aa,ab,ab,aa,aa,aa,aa,ab,ab,ab,ab,aa
AX-89781691:phr:np,9,10.496,aa,ab,ab,aa,aa,aa,aa,ab,ab,ab,aa,aa
AX-89877314:phr:np,9,12.581,aa,ab,ab,aa,aa,aa,aa,ab,ab,ab,aa,aa
AX-89781521:nmh:np,9,18.864,aa,ab,ab,aa,aa,aa,aa,ab,ab,ab,aa,aa
AX-89877190:nmh:np,9,20.948,aa,ab,ab,aa,aa,aa,aa,ab,ab,ab,aa,aa
